cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.3,1.3,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.555789052101318,-1.144048621528782,-0.8071636030217633,-0.0334814236266538,-1.653515205369331,-0.0277484920807182,-1.784625889849849,-0.0591334048658609,-0.3763033142895438,-2.106230412377045,-0.2888303028303198,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.3,13.5,-1.0,0,7.4,5.8,25.5,2.1,1.9,-5.590559381351341,-1.207454742048867,-0.8694477356038988,-0.0347050679847598,-1.6053663630736992,-0.0290574780665338,-1.7833859300008044,-0.0590857141651213,-0.3758784899837337,-2.102643565274775,-0.288242953538429,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.3,13.5,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.540007175528444,-1.117921615135856,-0.7838239960838109,-0.0329831806011498,-1.6710001442115754,-0.0272238939069211,-1.782737084547989,-0.0591415624367073,-0.3764250511303544,-2.1075638711918145,-0.2890317335259169,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.3,13.5,-0.7,0,7.4,5.8,25.5,2.1,1.9,-5.570522359514143,-1.1697539412416518,-0.8314683201024309,-0.0339746463578194,-1.6349986403947696,-0.0282705805730074,-1.785164293483831,-0.0591139520984143,-0.3761489468161016,-2.1048379677231424,-0.2886062817997299,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.7_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.2,1.2,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.3194455683697015,-0.783101104432717,-0.4578262759605422,-0.0358571764081716,-1.7692556597758085,-0.0317457308992743,-1.8086570127634327,-0.0654392528813332,-0.4193153597298078,-2.081290655070916,-0.3101788205676712,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.2_cz=13.4.log
0.2,1.2,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.396398374752607,-0.9829780998406932,-0.7732818279182538,-0.0337361926212906,-1.7032127423444765,-0.0297841345891356,-1.7315347788389772,-0.0615781839005649,-0.3898543927934952,-2.0266144536435604,-0.2910874563385732,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.2_cz=13.5.log
0.2,1.2,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.335519236919936,-1.0761721199378371,-0.9428601304534824,-0.0317382008070126,-1.6275061708875,-0.0279304700670763,-1.6509260992752388,-0.0579392532818019,-0.3623048212029971,-1.963732931530103,-0.27297563519096,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.2_cz=13.6.log
0.2,1.3,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.458927863335703,-0.934260733309202,-0.5797715492080897,-0.0345996463438496,-1.7395367862191051,-0.0306174678262323,-1.8533030941616744,-0.0636219838634133,-0.4271215841290541,-2.085624239116441,-0.2965154176927171,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.3_cz=13.4.log
0.2,1.3,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.515138953865971,-1.086349076940678,-0.8560378467664123,-0.0325815742835402,-1.6958733854116872,-0.0287525081075727,-1.7850036508170888,-0.059890181873925,-0.3968831322854385,-2.0376787098357454,-0.2783879087073728,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.3_cz=13.5.log
0.2,1.3,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.437848861562088,-1.1431086114607751,-0.996617657248862,-0.030680218944326,-1.635597284999676,-0.0269898327533155,-1.7104830733733252,-0.0563761258963495,-0.3686608699499629,-1.979886921471916,-0.2611866048537195,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.3_cz=13.6.log
